,dataset,date,species,trap,latitude,longitude,wnvpresent,year,month,week,dayofweek,nummosquitos
18,train,2007-05-29,CULEX PIPIENS/RESTUANS,T143,41.999129,-87.795585,0.0,2007,5,22,1,1.0
19,train,2007-05-29,CULEX PIPIENS/RESTUANS,T148,42.01743,-87.687769,0.0,2007,5,22,1,1.0
20,train,2007-05-29,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,0.0,2007,5,22,1,1.0
21,train,2007-05-29,CULEX RESTUANS,T015,41.974089,-87.824812,0.0,2007,5,22,1,4.0
22,train,2007-05-29,CULEX RESTUANS,T159,41.732984,-87.649642,0.0,2007,5,22,1,1.0
23,train,2007-05-29,CULEX PIPIENS/RESTUANS,T129,41.891126,-87.61156,0.0,2007,5,22,1,1.0
24,train,2007-05-29,CULEX RESTUANS,T129,41.891126,-87.61156,0.0,2007,5,22,1,2.0
25,train,2007-06-05,CULEX PIPIENS,T048,41.867108,-87.654224,0.0,2007,6,23,1,2.0
26,train,2007-06-05,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,0.0,2007,6,23,1,1.0
27,train,2007-06-05,CULEX RESTUANS,T048,41.867108,-87.654224,0.0,2007,6,23,1,1.0
28,train,2007-06-05,CULEX PIPIENS/RESTUANS,T092,41.869216,-87.627561,0.0,2007,6,23,1,1.0
29,train,2007-06-05,CULEX RESTUANS,T049,41.896282,-87.655232,0.0,2007,6,23,1,2.0
30,train,2007-06-05,CULEX RESTUANS,T033,41.906638,-87.701431,0.0,2007,6,23,1,3.0
31,train,2007-06-05,CULEX RESTUANS,T153,41.907645,-87.760886,0.0,2007,6,23,1,3.0
32,train,2007-06-05,CULEX PIPIENS/RESTUANS,T149,41.994469,-87.667736,0.0,2007,6,23,1,1.0
33,train,2007-06-05,CULEX PIPIENS,T045,41.9216,-87.666455,0.0,2007,6,23,1,1.0
34,train,2007-06-05,CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,0.0,2007,6,23,1,1.0
35,train,2007-06-05,CULEX RESTUANS,T045,41.9216,-87.666455,0.0,2007,6,23,1,2.0
36,train,2007-06-05,CULEX PIPIENS/RESTUANS,T094,41.720848,-87.666014,0.0,2007,6,23,1,2.0
37,train,2007-06-05,CULEX RESTUANS,T150,42.006858,-87.675919,0.0,2007,6,23,1,2.0
38,train,2007-06-05,CULEX RESTUANS,T154,41.918705,-87.752329,0.0,2007,6,23,1,1.0
39,train,2007-06-05,CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,0.0,2007,6,23,1,1.0
40,train,2007-06-05,CULEX RESTUANS,T050,41.919343,-87.694259,0.0,2007,6,23,1,1.0
41,train,2007-06-05,CULEX RESTUANS,T054,41.921965,-87.632085,0.0,2007,6,23,1,3.0
42,train,2007-06-05,CULEX RESTUANS,T086,41.688324,-87.676709,0.0,2007,6,23,1,4.0
43,train,2007-06-05,CULEX PIPIENS,T096,41.731922,-87.677512,0.0,2007,6,23,1,1.0
44,train,2007-06-05,CULEX PIPIENS/RESTUANS,T096,41.731922,-87.677512,0.0,2007,6,23,1,1.0
45,train,2007-06-05,CULEX RESTUANS,T096,41.731922,-87.677512,0.0,2007,6,23,1,1.0
46,train,2007-06-05,CULEX RESTUANS,T152,41.846075,-87.716277,0.0,2007,6,23,1,1.0
47,train,2007-06-05,CULEX RESTUANS,T046,41.891118,-87.654491,0.0,2007,6,23,1,1.0
48,train,2007-06-05,CULEX RESTUANS,T147,41.932094,-87.700117,0.0,2007,6,23,1,1.0
49,train,2007-06-05,CULEX PIPIENS/RESTUANS,T158,41.682587,-87.707973,0.0,2007,6,23,1,3.0
50,train,2007-06-05,CULEX RESTUANS,T158,41.682587,-87.707973,0.0,2007,6,23,1,8.0
51,train,2007-06-05,CULEX RESTUANS,T011,41.944869,-87.832763,0.0,2007,6,23,1,1.0
52,train,2007-06-05,CULEX PIPIENS/RESTUANS,T218,41.948167,-87.730698,0.0,2007,6,23,1,2.0
53,train,2007-06-05,CULEX RESTUANS,T218,41.948167,-87.730698,0.0,2007,6,23,1,1.0
54,train,2007-06-05,CULEX RESTUANS,T019,41.94983,-87.698457,0.0,2007,6,23,1,1.0
55,train,2007-06-05,CULEX PIPIENS/RESTUANS,T142,41.953067,-87.776792,0.0,2007,6,23,1,1.0
56,train,2007-06-05,CULEX RESTUANS,T142,41.953067,-87.776792,0.0,2007,6,23,1,3.0
57,train,2007-06-05,CULEX PIPIENS,T002,41.95469,-87.800991,0.0,2007,6,23,1,1.0
58,train,2007-06-05,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,0.0,2007,6,23,1,3.0
59,train,2007-06-05,CULEX RESTUANS,T002,41.95469,-87.800991,0.0,2007,6,23,1,5.0
60,train,2007-06-05,CULEX PIPIENS/RESTUANS,T146,41.958271,-87.702575,0.0,2007,6,23,1,1.0
61,train,2007-06-05,CULEX RESTUANS,T146,41.958271,-87.702575,0.0,2007,6,23,1,2.0
62,train,2007-06-05,CULEX PIPIENS,T135,41.662014,-87.724608,0.0,2007,6,23,1,1.0
63,train,2007-06-05,CULEX PIPIENS/RESTUANS,T135,41.662014,-87.724608,0.0,2007,6,23,1,2.0
64,train,2007-06-05,CULEX RESTUANS,T135,41.662014,-87.724608,0.0,2007,6,23,1,4.0
65,train,2007-06-05,CULEX RESTUANS,T220,41.963976,-87.69181,0.0,2007,6,23,1,1.0
66,train,2007-06-05,CULEX RESTUANS,T025,41.979243,-87.750938,0.0,2007,6,23,1,1.0
67,train,2007-06-05,CULEX PIPIENS/RESTUANS,T031,41.801498,-87.763416,0.0,2007,6,23,1,1.0
68,train,2007-06-05,CULEX PIPIENS/RESTUANS,T141,41.961743,-87.76007,0.0,2007,6,23,1,1.0
69,train,2007-06-05,CULEX RESTUANS,T141,41.961743,-87.76007,0.0,2007,6,23,1,2.0
70,train,2007-06-05,CULEX RESTUANS,T028,41.986921,-87.689778,0.0,2007,6,23,1,2.0
71,train,2007-06-05,CULEX PIPIENS/RESTUANS,T143,41.999129,-87.795585,0.0,2007,6,23,1,2.0
72,train,2007-06-05,CULEX RESTUANS,T143,41.999129,-87.795585,0.0,2007,6,23,1,9.0
73,train,2007-06-05,CULEX PIPIENS/RESTUANS,T151,41.916265,-87.800515,0.0,2007,6,23,1,1.0
74,train,2007-06-05,CULEX RESTUANS,T151,41.916265,-87.800515,0.0,2007,6,23,1,10.0
75,train,2007-06-05,CULEX RESTUANS,T016,42.011601,-87.811506,0.0,2007,6,23,1,1.0
76,train,2007-06-05,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,0.0,2007,6,23,1,1.0
77,train,2007-06-05,CULEX RESTUANS,T015,41.974089,-87.824812,0.0,2007,6,23,1,2.0
78,train,2007-06-05,CULEX RESTUANS,T159,41.732984,-87.649642,0.0,2007,6,23,1,1.0
79,train,2007-06-05,CULEX RESTUANS,T009A,41.981964,-87.812827,0.0,2007,6,23,1,2.0
80,train,2007-06-05,CULEX PIPIENS/RESTUANS,T162,41.725517,-87.614258,0.0,2007,6,23,1,1.0
81,train,2007-06-05,CULEX RESTUANS,T145,41.878114,-87.629798,0.0,2007,6,23,1,3.0
82,train,2007-06-05,CULEX RESTUANS,T089,41.723195,-87.64997,0.0,2007,6,23,1,1.0
83,train,2007-06-05,CULEX PIPIENS/RESTUANS,T090,41.868077,-87.666901,0.0,2007,6,23,1,1.0
84,train,2007-06-05,CULEX RESTUANS,T090,41.868077,-87.666901,0.0,2007,6,23,1,7.0
85,train,2007-06-26,CULEX PIPIENS,T088,41.869107,-87.696293,0.0,2007,6,26,1,1.0
86,train,2007-06-26,CULEX RESTUANS,T085,41.721474,-87.648064,0.0,2007,6,26,1,2.0
87,train,2007-06-26,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,0.0,2007,6,26,1,2.0
88,train,2007-06-26,CULEX PIPIENS/RESTUANS,T047,41.868142,-87.696269,0.0,2007,6,26,1,1.0
89,train,2007-06-26,CULEX RESTUANS,T047,41.868142,-87.696269,0.0,2007,6,26,1,1.0
90,train,2007-06-26,CULEX RESTUANS,T049,41.896282,-87.655232,0.0,2007,6,26,1,1.0
91,train,2007-06-26,CULEX PIPIENS/RESTUANS,T033,41.906638,-87.701431,0.0,2007,6,26,1,2.0
92,train,2007-06-26,CULEX RESTUANS,T033,41.906638,-87.701431,0.0,2007,6,26,1,3.0
93,train,2007-06-26,CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,0.0,2007,6,26,1,1.0
94,train,2007-06-26,CULEX RESTUANS,T045,41.9216,-87.666455,0.0,2007,6,26,1,1.0
95,train,2007-06-26,CULEX RESTUANS,T150,42.006858,-87.675919,0.0,2007,6,26,1,2.0
96,train,2007-06-26,CULEX RESTUANS,T219,41.966987,-87.674677,0.0,2007,6,26,1,1.0
97,train,2007-06-26,CULEX RESTUANS,T050,41.919343,-87.694259,0.0,2007,6,26,1,1.0
98,train,2007-06-26,CULEX PIPIENS/RESTUANS,T040,41.852652,-87.719887,0.0,2007,6,26,1,5.0
99,train,2007-06-26,CULEX RESTUANS,T040,41.852652,-87.719887,0.0,2007,6,26,1,1.0
100,train,2007-06-26,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,0.0,2007,6,26,1,1.0
101,train,2007-06-26,CULEX RESTUANS,T086,41.688324,-87.676709,0.0,2007,6,26,1,2.0
102,train,2007-06-26,CULEX RESTUANS,T096,41.731922,-87.677512,0.0,2007,6,26,1,5.0
103,train,2007-06-26,CULEX PIPIENS/RESTUANS,T051,41.846283,-87.656913,0.0,2007,6,26,1,1.0
104,train,2007-06-26,CULEX PIPIENS/RESTUANS,T046,41.891118,-87.654491,0.0,2007,6,26,1,1.0
105,train,2007-06-26,CULEX RESTUANS,T046,41.891118,-87.654491,0.0,2007,6,26,1,6.0
106,train,2007-06-26,CULEX RESTUANS,T034,41.843811,-87.686763,0.0,2007,6,26,1,1.0
107,train,2007-06-26,CULEX RESTUANS,T147,41.932094,-87.700117,0.0,2007,6,26,1,1.0
108,train,2007-06-26,CULEX RESTUANS,T043,41.857402,-87.694991,0.0,2007,6,26,1,1.0
109,train,2007-06-26,CULEX PIPIENS/RESTUANS,T158,41.682587,-87.707973,0.0,2007,6,26,1,1.0
110,train,2007-06-26,CULEX RESTUANS,T158,41.682587,-87.707973,0.0,2007,6,26,1,4.0
111,train,2007-06-26,CULEX PIPIENS/RESTUANS,T011,41.944869,-87.832763,0.0,2007,6,26,1,2.0
112,train,2007-06-26,CULEX RESTUANS,T011,41.944869,-87.832763,0.0,2007,6,26,1,4.0
113,train,2007-06-26,CULEX RESTUANS,T019,41.94983,-87.698457,0.0,2007,6,26,1,1.0
114,train,2007-06-26,CULEX RESTUANS,T142,41.953067,-87.776792,0.0,2007,6,26,1,4.0
115,train,2007-06-26,CULEX PIPIENS/RESTUANS,T001,41.953705,-87.733974,0.0,2007,6,26,1,1.0
116,train,2007-06-26,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,0.0,2007,6,26,1,1.0
117,train,2007-06-26,CULEX RESTUANS,T002,41.95469,-87.800991,0.0,2007,6,26,1,4.0
119,train,2007-06-26,CULEX RESTUANS,T146,41.958271,-87.702575,0.0,2007,6,26,1,6.0
120,train,2007-06-26,CULEX PIPIENS,T135,41.662014,-87.724608,0.0,2007,6,26,1,6.0
121,train,2007-06-26,CULEX PIPIENS/RESTUANS,T135,41.662014,-87.724608,0.0,2007,6,26,1,20.0
122,train,2007-06-26,CULEX RESTUANS,T135,41.662014,-87.724608,0.0,2007,6,26,1,25.0
123,train,2007-06-26,CULEX RESTUANS,T220,41.963976,-87.69181,0.0,2007,6,26,1,1.0
124,train,2007-06-26,CULEX RESTUANS,T003,41.964242,-87.757639,0.0,2007,6,26,1,2.0
125,train,2007-06-26,CULEX PIPIENS/RESTUANS,T025,41.979243,-87.750938,0.0,2007,6,26,1,1.0
126,train,2007-06-26,CULEX PIPIENS/RESTUANS,T141,41.961743,-87.76007,0.0,2007,6,26,1,1.0
127,train,2007-06-26,CULEX RESTUANS,T141,41.961743,-87.76007,0.0,2007,6,26,1,3.0
128,train,2007-06-26,CULEX PIPIENS/RESTUANS,T028,41.986921,-87.689778,0.0,2007,6,26,1,1.0
129,train,2007-06-26,CULEX RESTUANS,T028,41.986921,-87.689778,0.0,2007,6,26,1,9.0
130,train,2007-06-26,CULEX PIPIENS/RESTUANS,T006,41.990284,-87.797127,0.0,2007,6,26,1,1.0
131,train,2007-06-26,CULEX RESTUANS,T006,41.990284,-87.797127,0.0,2007,6,26,1,1.0
132,train,2007-06-26,CULEX PIPIENS/RESTUANS,T012,41.991429,-87.747113,0.0,2007,6,26,1,2.0
133,train,2007-06-26,CULEX PIPIENS/RESTUANS,T007,41.994991,-87.769279,0.0,2007,6,26,1,1.0
134,train,2007-06-26,CULEX RESTUANS,T007,41.994991,-87.769279,0.0,2007,6,26,1,4.0
135,train,2007-06-26,CULEX PIPIENS/RESTUANS,T143,41.999129,-87.795585,0.0,2007,6,26,1,1.0
136,train,2007-06-26,CULEX RESTUANS,T143,41.999129,-87.795585,0.0,2007,6,26,1,1.0
137,train,2007-06-26,CULEX RESTUANS,T037,41.921177,-87.79518,0.0,2007,6,26,1,1.0
138,train,2007-06-26,CULEX RESTUANS,T008,42.008314,-87.777921,0.0,2007,6,26,1,2.0
139,train,2007-06-26,CULEX PIPIENS/RESTUANS,T151,41.916265,-87.800515,0.0,2007,6,26,1,3.0
140,train,2007-06-26,CULEX RESTUANS,T151,41.916265,-87.800515,0.0,2007,6,26,1,6.0
141,train,2007-06-26,CULEX PIPIENS/RESTUANS,T016,42.011601,-87.811506,0.0,2007,6,26,1,2.0
142,train,2007-06-26,CULEX RESTUANS,T016,42.011601,-87.811506,0.0,2007,6,26,1,2.0
143,train,2007-06-26,CULEX PIPIENS/RESTUANS,T148,42.01743,-87.687769,0.0,2007,6,26,1,2.0
144,train,2007-06-26,CULEX RESTUANS,T148,42.01743,-87.687769,0.0,2007,6,26,1,2.0
145,train,2007-06-26,CULEX RESTUANS,T015,41.974089,-87.824812,0.0,2007,6,26,1,1.0
146,train,2007-06-26,CULEX PIPIENS/RESTUANS,T161,41.719059,-87.675088,0.0,2007,6,26,1,3.0
147,train,2007-06-26,CULEX RESTUANS,T161,41.719059,-87.675088,0.0,2007,6,26,1,5.0
148,train,2007-06-26,CULEX RESTUANS,T145,41.878114,-87.629798,0.0,2007,6,26,1,1.0
149,train,2007-06-26,CULEX PIPIENS/RESTUANS,T129,41.891126,-87.61156,0.0,2007,6,26,1,1.0
150,train,2007-06-26,CULEX RESTUANS,T129,41.891126,-87.61156,0.0,2007,6,26,1,1.0
151,train,2007-06-26,CULEX PIPIENS,T090,41.868077,-87.666901,0.0,2007,6,26,1,1.0
152,train,2007-06-26,CULEX PIPIENS/RESTUANS,T090,41.868077,-87.666901,0.0,2007,6,26,1,10.0
153,train,2007-06-26,CULEX RESTUANS,T090,41.868077,-87.666901,0.0,2007,6,26,1,19.0
154,train,2007-06-29,CULEX PIPIENS/RESTUANS,T030,41.89923,-87.716788,0.0,2007,6,26,4,1.0
155,train,2007-06-29,CULEX RESTUANS,T030,41.89923,-87.716788,0.0,2007,6,26,4,1.0
156,train,2007-06-29,CULEX PIPIENS,T085,41.721474,-87.648064,0.0,2007,6,26,4,1.0
157,train,2007-06-29,CULEX PIPIENS/RESTUANS,T085,41.721474,-87.648064,0.0,2007,6,26,4,1.0
158,train,2007-06-29,CULEX PIPIENS/RESTUANS,T160,41.903002,-87.688267,0.0,2007,6,26,4,1.0
159,train,2007-06-29,CULEX PIPIENS/RESTUANS,T091,41.862292,-87.64886,0.0,2007,6,26,4,1.0
160,train,2007-06-29,CULEX RESTUANS,T018,42.010412,-87.66214,0.0,2007,6,26,4,1.0
161,train,2007-06-29,CULEX RESTUANS,T153,41.907645,-87.760886,0.0,2007,6,26,4,1.0
162,train,2007-06-29,CULEX RESTUANS,T150,42.006858,-87.675919,0.0,2007,6,26,4,1.0
163,train,2007-06-29,CULEX PIPIENS/RESTUANS,T084,41.692555,-87.598865,0.0,2007,6,26,4,1.0
164,train,2007-06-29,CULEX RESTUANS,T084,41.692555,-87.598865,0.0,2007,6,26,4,1.0
165,train,2007-06-29,CULEX PIPIENS/RESTUANS,T054,41.921965,-87.632085,0.0,2007,6,26,4,3.0
166,train,2007-06-29,CULEX PIPIENS,T086,41.688324,-87.676709,0.0,2007,6,26,4,1.0
167,train,2007-06-29,CULEX RESTUANS,T086,41.688324,-87.676709,0.0,2007,6,26,4,2.0
168,train,2007-06-29,CULEX RESTUANS,T096,41.731922,-87.677512,0.0,2007,6,26,4,1.0
169,train,2007-06-29,CULEX RESTUANS,T046,41.891118,-87.654491,0.0,2007,6,26,4,2.0
170,train,2007-06-29,CULEX PIPIENS/RESTUANS,T043,41.857402,-87.694991,0.0,2007,6,26,4,2.0
171,train,2007-06-29,CULEX RESTUANS,T043,41.857402,-87.694991,0.0,2007,6,26,4,3.0
172,train,2007-06-29,CULEX PIPIENS/RESTUANS,T144,41.94016,-87.794896,0.0,2007,6,26,4,1.0
173,train,2007-06-29,CULEX RESTUANS,T158,41.682587,-87.707973,0.0,2007,6,26,4,6.0
174,train,2007-06-29,CULEX RESTUANS,T218,41.948167,-87.730698,0.0,2007,6,26,4,5.0
175,train,2007-06-29,CULEX RESTUANS,T142,41.953067,-87.776792,0.0,2007,6,26,4,1.0
176,train,2007-06-29,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,0.0,2007,6,26,4,2.0
177,train,2007-06-29,CULEX RESTUANS,T146,41.958271,-87.702575,0.0,2007,6,26,4,2.0
178,train,2007-06-29,CULEX RESTUANS,T135,41.662014,-87.724608,0.0,2007,6,26,4,3.0
179,train,2007-06-29,CULEX PIPIENS,T031,41.801498,-87.763416,0.0,2007,6,26,4,1.0
180,train,2007-06-29,CULEX RESTUANS,T141,41.961743,-87.76007,0.0,2007,6,26,4,1.0
181,train,2007-06-29,CULEX PIPIENS/RESTUANS,T028,41.986921,-87.689778,0.0,2007,6,26,4,2.0
182,train,2007-06-29,CULEX RESTUANS,T028,41.986921,-87.689778,0.0,2007,6,26,4,1.0
183,train,2007-06-29,CULEX RESTUANS,T006,41.990284,-87.797127,0.0,2007,6,26,4,1.0
184,train,2007-06-29,CULEX PIPIENS/RESTUANS,T012,41.991429,-87.747113,0.0,2007,6,26,4,1.0
185,train,2007-06-29,CULEX PIPIENS/RESTUANS,T013,41.923738,-87.785288,0.0,2007,6,26,4,1.0
186,train,2007-06-29,CULEX RESTUANS,T014,41.970248,-87.787992,0.0,2007,6,26,4,1.0
187,train,2007-06-29,CULEX RESTUANS,T143,41.999129,-87.795585,0.0,2007,6,26,4,3.0
188,train,2007-06-29,CULEX PIPIENS/RESTUANS,T151,41.916265,-87.800515,0.0,2007,6,26,4,1.0
189,train,2007-06-29,CULEX RESTUANS,T151,41.916265,-87.800515,0.0,2007,6,26,4,5.0
190,train,2007-06-29,CULEX PIPIENS/RESTUANS,T016,42.011601,-87.811506,0.0,2007,6,26,4,2.0
191,train,2007-06-29,CULEX PIPIENS/RESTUANS,T148,42.01743,-87.687769,0.0,2007,6,26,4,2.0
192,train,2007-06-29,CULEX RESTUANS,T148,42.01743,-87.687769,0.0,2007,6,26,4,2.0
193,train,2007-06-29,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,0.0,2007,6,26,4,1.0
194,train,2007-06-29,CULEX RESTUANS,T015,41.974089,-87.824812,0.0,2007,6,26,4,2.0
195,train,2007-06-29,CULEX RESTUANS,T145,41.878114,-87.629798,0.0,2007,6,26,4,1.0
196,train,2007-06-29,CULEX RESTUANS,T089,41.723195,-87.64997,0.0,2007,6,26,4,2.0
197,train,2007-06-29,CULEX PIPIENS,T090,41.868077,-87.666901,0.0,2007,6,26,4,3.0
198,train,2007-06-29,CULEX PIPIENS/RESTUANS,T090,41.868077,-87.666901,0.0,2007,6,26,4,1.0
199,train,2007-06-29,CULEX RESTUANS,T090,41.868077,-87.666901,0.0,2007,6,26,4,6.0
200,train,2007-07-02,CULEX PIPIENS/RESTUANS,T030,41.89923,-87.716788,0.0,2007,7,27,0,3.0
201,train,2007-07-02,CULEX RESTUANS,T030,41.89923,-87.716788,0.0,2007,7,27,0,2.0
202,train,2007-07-02,CULEX PIPIENS/RESTUANS,T088,41.869107,-87.696293,0.0,2007,7,27,0,1.0
203,train,2007-07-02,CULEX PIPIENS/RESTUANS,T085,41.721474,-87.648064,0.0,2007,7,27,0,2.0
204,train,2007-07-02,CULEX RESTUANS,T048,41.867108,-87.654224,0.0,2007,7,27,0,1.0
205,train,2007-07-02,CULEX PIPIENS/RESTUANS,T047,41.868142,-87.696269,0.0,2007,7,27,0,4.0
206,train,2007-07-02,CULEX RESTUANS,T047,41.868142,-87.696269,0.0,2007,7,27,0,8.0
207,train,2007-07-02,CULEX RESTUANS,T092,41.869216,-87.627561,0.0,2007,7,27,0,2.0
208,train,2007-07-02,CULEX PIPIENS/RESTUANS,T018,42.010412,-87.66214,0.0,2007,7,27,0,1.0
209,train,2007-07-02,CULEX PIPIENS/RESTUANS,T149,41.994469,-87.667736,0.0,2007,7,27,0,1.0
210,train,2007-07-02,CULEX RESTUANS,T149,41.994469,-87.667736,0.0,2007,7,27,0,1.0
211,train,2007-07-02,CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,0.0,2007,7,27,0,2.0
212,train,2007-07-02,CULEX RESTUANS,T045,41.9216,-87.666455,0.0,2007,7,27,0,2.0
213,train,2007-07-02,CULEX PIPIENS/RESTUANS,T154,41.918705,-87.752329,0.0,2007,7,27,0,1.0
214,train,2007-07-02,CULEX PIPIENS/RESTUANS,T054,41.921965,-87.632085,0.0,2007,7,27,0,2.0
215,train,2007-07-02,CULEX RESTUANS,T054,41.921965,-87.632085,0.0,2007,7,27,0,1.0
216,train,2007-07-02,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,0.0,2007,7,27,0,2.0
217,train,2007-07-02,CULEX RESTUANS,T086,41.688324,-87.676709,0.0,2007,7,27,0,3.0
218,train,2007-07-02,CULEX PIPIENS,T096,41.731922,-87.677512,0.0,2007,7,27,0,3.0
219,train,2007-07-02,CULEX PIPIENS/RESTUANS,T096,41.731922,-87.677512,0.0,2007,7,27,0,3.0
220,train,2007-07-02,CULEX RESTUANS,T096,41.731922,-87.677512,0.0,2007,7,27,0,4.0
221,train,2007-07-02,CULEX PIPIENS/RESTUANS,T152,41.846075,-87.716277,0.0,2007,7,27,0,1.0
222,train,2007-07-02,CULEX PIPIENS/RESTUANS,T051,41.846283,-87.656913,0.0,2007,7,27,0,1.0
223,train,2007-07-02,CULEX PIPIENS/RESTUANS,T046,41.891118,-87.654491,0.0,2007,7,27,0,3.0
224,train,2007-07-02,CULEX RESTUANS,T046,41.891118,-87.654491,0.0,2007,7,27,0,16.0
225,train,2007-07-02,CULEX PIPIENS/RESTUANS,T043,41.857402,-87.694991,0.0,2007,7,27,0,5.0
226,train,2007-07-02,CULEX PIPIENS/RESTUANS,T095,41.704336,-87.703736,0.0,2007,7,27,0,1.0
227,train,2007-07-02,CULEX PIPIENS/RESTUANS,T044,41.883284,-87.705085,0.0,2007,7,27,0,2.0
228,train,2007-07-02,CULEX RESTUANS,T044,41.883284,-87.705085,0.0,2007,7,27,0,1.0
229,train,2007-07-02,CULEX PIPIENS/RESTUANS,T158,41.682587,-87.707973,0.0,2007,7,27,0,28.0
230,train,2007-07-02,CULEX RESTUANS,T158,41.682587,-87.707973,0.0,2007,7,27,0,4.0
231,train,2007-07-02,CULEX PIPIENS/RESTUANS,T011,41.944869,-87.832763,0.0,2007,7,27,0,6.0
232,train,2007-07-02,CULEX PIPIENS/RESTUANS,T218,41.948167,-87.730698,0.0,2007,7,27,0,2.0
233,train,2007-07-02,CULEX RESTUANS,T019,41.94983,-87.698457,0.0,2007,7,27,0,1.0
234,train,2007-07-02,CULEX PIPIENS/RESTUANS,T142,41.953067,-87.776792,0.0,2007,7,27,0,1.0
235,train,2007-07-02,CULEX RESTUANS,T142,41.953067,-87.776792,0.0,2007,7,27,0,1.0
236,train,2007-07-02,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,0.0,2007,7,27,0,3.0
237,train,2007-07-02,CULEX RESTUANS,T002,41.95469,-87.800991,0.0,2007,7,27,0,2.0
238,train,2007-07-02,CULEX RESTUANS,T146,41.958271,-87.702575,0.0,2007,7,27,0,1.0
239,train,2007-07-02,CULEX PIPIENS/RESTUANS,T135,41.662014,-87.724608,0.0,2007,7,27,0,16.0
240,train,2007-07-02,CULEX RESTUANS,T135,41.662014,-87.724608,0.0,2007,7,27,0,12.0
242,train,2007-07-02,CULEX RESTUANS,T003,41.964242,-87.757639,0.0,2007,7,27,0,1.0
243,train,2007-07-02,CULEX PIPIENS,T028,41.986921,-87.689778,0.0,2007,7,27,0,1.0
244,train,2007-07-02,CULEX PIPIENS/RESTUANS,T028,41.986921,-87.689778,0.0,2007,7,27,0,1.0
245,train,2007-07-02,CULEX RESTUANS,T028,41.986921,-87.689778,0.0,2007,7,27,0,5.0
246,train,2007-07-02,CULEX RESTUANS,T006,41.990284,-87.797127,0.0,2007,7,27,0,1.0
247,train,2007-07-02,CULEX PIPIENS/RESTUANS,T017,41.960616,-87.777189,0.0,2007,7,27,0,1.0
248,train,2007-07-02,CULEX PIPIENS/RESTUANS,T005,41.942114,-87.776385,0.0,2007,7,27,0,3.0
250,train,2007-07-02,CULEX PIPIENS/RESTUANS,T013,41.923738,-87.785288,0.0,2007,7,27,0,6.0
251,train,2007-07-02,CULEX RESTUANS,T013,41.923738,-87.785288,0.0,2007,7,27,0,1.0
